Atelier,Unite,Déscription,Equipement(repére),Date de debut,Date de fin,Heure de debut,Heure de fin,Type d'arret,DUREE,DUREE
FP,307,- Glissement arrêt programmé : Remise en état du pavillon d'aspiration du ventilateur C07;,Ventilateur C07,3/26/2019,3/27/2019,18:00,0:35,MM,6:35,"6,58"
FP,307,- Contrôle et appoint d'huile au niveau du palier B suite vibration élevée du ventilateur C07;,Ventilateur C07,3/31/2019,3/31/2019,10:10,12:10,MM,2:00,"2,00"
FP,307,- Changement du demi coussinet du palier B suite vibration élevée du ventilateur C07;,Ventilateur C07,3/31/2019,3/31/2019,15:00,17:30,MM,2:30,"2,50"
FP,307,- Glissement arrêt programmé : Changement du palier B du ventilateur C07;,Ventilateur C07,4/2/2019,4/2/2019,17:00,17:30,MM,0:30,"0,50"
FP,307,- Déclenchement du ventilateur C07 par vibration élevée;,Ventilateur C07,4/9/2019,4/9/2019,10:25,10:40,MM,0:15,"0,25"
FP,307,- Arrêt programmé pour travaux d'entretien et nettoyage;,Ventilateur C07,4/10/2019,4/10/2019,8:00,16:25,PROGRAMME,8:25,"8,42"
FP,307,- Sablage des ventilateurs C07 & C08;,Ventilateur C07 & C08,5/3/2019,5/3/2019,15:30,17:40,MM,2:10,"2,17"
FP,307,- Réglage serrage de la vis d'appui sur coussinet du palier B suite vibration du ventilateur C07;,ventilateur C07,5/9/2019,5/9/2019,11:25,14:00,MM,2:35,"2,58"
FP,307,- Manque de la vapeur BP à partir de la centrale;,ventilateur C07,5/10/2019,5/10/2019,7:00,9:55,EXTERNE,2:55,"2,92"
FP,307,- Glissement AP : Appoint d'huile suite déclenchement du ventilateur C08 par température élecée du palier A;,Ventilateur C08,6/12/2019,6/12/2019,19:40,21:20,MM,1:40,"1,67"
FP,307,- Déclenchement du ventilateur C07 par température haute du palier B;,Ventilateur C07,10/25/2019,10/25/2019,9:15,10:30,MM,1:15,"1,25"
FP,307,- Remise en état du palier B et soudage fissures puis équilibrage de la turbine du ventilateur C07;,Ventilateur C07,11/3/2019,11/4/2019,9:20,7:00,MM,21:40,"21,67"
FP,307,- Remise en état du palier B et équilibrage de la turbine du ventilateur C07;,Ventilateur C07,11/4/2019,11/4/2019,7:00,19:20,MM,12:20,"12,33"
FP,307,- Glissement AP : Contrôle turbine du ventilateur C07;,Ventilateur C07,11/14/2019,11/14/2019,19:00,19:30,MM,0:30,"0,50"
FP,307,- Glissement AP : Décoincement du volet au refoulement du ventilateur C07;,Ventilateur C07,11/14/2019,11/14/2019,19:30,22:00,MM,2:30,"2,50"
FP,307,- Soudage fissures sur turbine du ventilateur C07;,Ventilateur C07,11/15/2019,11/15/2019,10:40,18:30,MM,7:50,"7,83"
FP,307,- Soudage fissures sur turbine du ventilateur C07;,Ventilateur C07,11/16/2019,11/16/2019,14:45,21:10,MM,6:25,"6,42"
FP,307,- Changement palier B endommagé du ventilateur C07;,Ventilateur C07,12/14/2019,12/14/2019,10:55,0:00,MM,13:05,"13,08"
FP,307,- Changement moteur de la pompe de lubrification du palier B du ventilateur C07;,Ventilateur C07,12/15/2019,12/15/2019,0:00,1:20,ME/MR,1:20,"1,33"
FP,307,- Appoint d'huile sur palier B suite vibration du ventilateur C07;,Ventilateur C07,12/15/2019,12/15/2019,7:00,7:55,MM,0:55,"0,92"
FP,307,- Entretien et appoint d'huile sur palier B suite vibration du ventilateur C07;,Ventilateur C07,12/16/2019,12/16/2019,9:25,15:20,MM,5:55,"5,92"
FP,307,- Déclenchement du ventilateur C07 par vibration du palier B ;,Ventilateur C07,12/21/2019,12/21/2019,7:00,15:30,MM,8:30,"8,50"
