feature,importance
Valve_Opening,0.1488365070614721
Vib_Motor_rolling_mean_60m,0.0805182725671073
Temp_Opposite,0.07976866921877411
Vib_Motor_rolling_max_60m,0.06775307017513449
Vib_Magnitude,0.06477178637700166
Temp_Diff,0.061357459066669215
Vib_Opposite_rolling_mean_60m,0.054828278161627546
Vib_Motor,0.04768470534316762
Vib_Opposite_rolling_max_60m,0.04584844469375413
Temp_Motor_rolling_max_60m,0.03761794026960284
Motor_Current_rolling_max_60m,0.03660733860180771
Vib_Opposite,0.03445004272373024
Vib_Ratio,0.033921200330174206
Motor_Current_rolling_mean_60m,0.03216841537437381
Vib_Opposite_rolling_std_60m,0.03211333804035847
Temp_Motor_rolling_mean_60m,0.029704491268795187
Temp_Motor,0.029316730047289644
Motor_Current,0.027186570253494236
Vib_Motor_High,0.011496214868719785
Vib_Motor_rolling_std_60m,0.010757348372973517
Temp_Motor_change_60m,0.009020407300575586
Temp_Motor_change_10m,0.008560779337538587
Temp_Motor_rolling_std_60m,0.0077756422562149825
Motor_Current_rolling_std_60m,0.004968062114293509
Vib_Motor_change_60m,0.0026549125962066675
Vib_Motor_change_10m,0.00028546231675091987
Temp_Motor_High,2.7911262392001123e-05
